simulation_timestamp,observation_id,action_generation,heating_setpoint_c,cooling_setpoint_c,hold_minutes
1986-07-15T00:15:00.000000Z,1611,1,17.0,29.0,60
1986-07-15T01:15:00.000000Z,1615,2,17.0,29.0,60
1986-07-15T02:15:00.000000Z,1619,3,17.0,29.0,60
1986-07-15T03:15:00.000000Z,1623,4,17.0,29.0,60
1986-07-15T04:15:00.000000Z,1627,5,17.0,29.0,60
1986-07-15T05:15:00.000000Z,1631,6,17.0,29.0,60
1986-07-15T06:15:00.000000Z,1635,7,17.0,29.0,60
1986-07-15T07:15:00.000000Z,1639,8,17.0,29.0,60
1986-07-15T08:15:00.000000Z,1643,9,19.0,26.0,60
1986-07-15T09:15:00.000000Z,1647,10,19.0,25.0,60
1986-07-15T10:15:00.000000Z,1651,11,19.0,24.0,60
1986-07-15T11:15:00.000000Z,1655,12,19.0,23.0,60
1986-07-15T12:15:00.000000Z,1659,13,19.0,23.0,60
1986-07-15T13:15:00.000000Z,1663,14,19.0,23.0,60
1986-07-15T14:00:00.000000Z,1666,15,19.0,23.0,60
1986-07-15T15:00:00.000000Z,1670,16,19.0,23.0,60
1986-07-15T16:00:00.000000Z,1674,17,19.0,23.0,60
1986-07-15T17:00:00.000000Z,1678,18,19.0,23.0,60
1986-07-15T18:00:00.000000Z,1682,19,19.0,23.0,60
1986-07-15T19:00:00.000000Z,1686,20,19.0,23.0,60
1986-07-15T20:00:00.000000Z,1690,21,19.0,23.0,60
1986-07-15T21:00:00.000000Z,1694,22,19.0,23.0,60
1986-07-15T21:15:00.000000Z,1695,23,19.0,24.0,60
1986-07-15T22:15:00.000000Z,1699,24,19.0,24.0,60
1986-07-15T23:15:00.000000Z,1703,25,19.0,24.0,60
1986-07-16T00:15:00.000000Z,1707,26,19.0,24.0,60
1986-07-16T01:15:00.000000Z,1711,27,17.0,26.0,60
1986-07-16T02:15:00.000000Z,1715,28,17.0,26.0,60
1986-07-16T03:15:00.000000Z,1719,29,17.0,26.0,60
1986-07-16T04:15:00.000000Z,1723,30,17.0,26.0,60
1986-07-16T05:15:00.000000Z,1727,31,17.0,26.0,60
1986-07-16T06:15:00.000000Z,1731,32,17.0,26.0,60
1986-07-16T07:15:00.000000Z,1735,33,17.0,26.0,60
1986-07-16T08:15:00.000000Z,1739,34,19.0,25.0,60
1986-07-16T09:15:00.000000Z,1743,35,19.0,24.0,60
1986-07-16T10:15:00.000000Z,1747,36,19.0,23.0,60
1986-07-16T11:15:00.000000Z,1751,37,19.0,23.0,60
1986-07-16T12:15:00.000000Z,1755,38,19.0,23.0,60
1986-07-16T13:15:00.000000Z,1759,39,19.0,23.0,60
1986-07-16T13:30:00.000000Z,1760,40,19.0,23.0,60
1986-07-16T14:30:00.000000Z,1764,41,19.0,23.0,60
1986-07-16T15:30:00.000000Z,1768,42,19.0,23.0,60
1986-07-16T16:30:00.000000Z,1772,43,19.0,23.0,60
